Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
281,tt0086087,1/1/14,1/1/14,,"Pauline at the Beach",https://www.imdb.com/title/tt0086087/,Movie,7.3,95,1983,"Comedy, Drama, Romance",10465,3/23/83,"Éric Rohmer",,
282,tt0080728,1/1/14,1/1/14,,"The Aviator's Wife",https://www.imdb.com/title/tt0080728/,Movie,7.5,106,1981,"Comedy, Romance",5135,3/4/81,"Éric Rohmer",,
283,tt1528100,1/4/14,1/4/14,,"Exodus: Gods and Kings",https://www.imdb.com/title/tt1528100/,Movie,6.0,150,2014,"Action, Adventure, Drama, Fantasy",178516,12/12/14,"Ridley Scott",,
284,tt0770828,1/4/14,1/4/14,,"Man of Steel",https://www.imdb.com/title/tt0770828/,Movie,7.1,143,2013,"Action, Adventure, Sci-Fi",809321,6/14/13,"Zack Snyder",7,12/10/14
285,tt2058107,1/9/14,1/9/14,,"The Railway Man",https://www.imdb.com/title/tt2058107/,Movie,7.1,116,2014,"Biography, Drama, Romance, War",42536,5/23/14,"Jonathan Teplitzky",,
286,tt2281587,1/9/14,1/9/14,,"Muppets Most Wanted",https://www.imdb.com/title/tt2281587/,Movie,6.4,107,2014,"Adventure, Comedy, Crime, Family, Musical, Mystery",36904,3/21/14,"James Bobin",,
287,tt2278388,1/9/14,1/9/14,,"The Grand Budapest Hotel",https://www.imdb.com/title/tt2278388/,Movie,8.1,99,2014,"Adventure, Comedy, Crime",881751,3/28/14,"Wes Anderson",7,2/13/16
288,tt2209764,1/9/14,1/9/14,,"Transcendence",https://www.imdb.com/title/tt2209764/,Movie,6.2,119,2014,"Action, Drama, Sci-Fi, Thriller",238250,4/18/14,"Wally Pfister",,
289,tt0903747,1/9/14,1/9/14,,"Breaking Bad",https://www.imdb.com/title/tt0903747/,TV Series,9.5,45,2008,"Crime, Drama, Thriller",2117270,1/20/08,,,
290,tt0104237,1/15/14,1/15/14,,"Damage",https://www.imdb.com/title/tt0104237/,Movie,6.7,111,1993,"Drama, Romance",20402,1/22/93,"Louis Malle",,
291,tt1964624,1/18/14,1/18/14,,"In the House",https://www.imdb.com/title/tt1964624/,Movie,7.3,105,2012,"Drama, Mystery, Thriller",34180,10/10/12,"François Ozon",,
292,tt1131729,1/18/14,1/18/14,,"The Boat That Rocked",https://www.imdb.com/title/tt1131729/,Movie,7.3,117,2009,"Comedy, Drama, Music",115828,11/13/09,"Richard Curtis",8,1/23/14
293,tt0163186,1/18/14,1/18/14,,"Rowan Atkinson Live",https://www.imdb.com/title/tt0163186/,TV Special,8.3,55,1992,"Comedy, Documentary",2973,3/1/92,"Thomas Schlamme",,
294,tt0080253,1/18/14,1/18/14,,"Not the Nine O'Clock News",https://www.imdb.com/title/tt0080253/,TV Series,7.9,25,1979,"Comedy",2788,10/16/79,,10,12/14/15
295,tt0070666,1/18/14,1/18/14,,"Serpico",https://www.imdb.com/title/tt0070666/,Movie,7.7,130,1973,"Biography, Crime, Drama, Thriller",134049,12/5/73,"Sidney Lumet",,
296,tt0140825,1/19/14,1/19/14,,"Christmas in August",https://www.imdb.com/title/tt0140825/,Movie,7.5,97,1998,"Drama, Romance",3896,1/24/98,"Hur Jin-ho",,
297,tt0089853,1/19/14,1/19/14,,"The Purple Rose of Cairo",https://www.imdb.com/title/tt0089853/,Movie,7.7,82,1985,"Comedy, Fantasy, Romance",54967,4/19/85,"Woody Allen",7,1/19/14
298,tt0071411,1/20/14,1/20/14,,"Dersu Uzala",https://www.imdb.com/title/tt0071411/,Movie,8.2,142,1977,"Adventure, Biography, Drama",33295,12/20/77,"Akira Kurosawa",,
299,tt2241091,1/20/14,1/20/14,,"Comic Relief",https://www.imdb.com/title/tt2241091/,TV Special,7.9,,1995,"Comedy",181,3/17/95,,,
300,tt0119488,1/20/14,1/20/14,,"L.A. Confidential",https://www.imdb.com/title/tt0119488/,Movie,8.2,138,1997,"Crime, Drama, Mystery, Thriller",615052,9/19/97,"Curtis Hanson",,
301,tt2258345,1/20/14,1/20/14,,"Fading Gigolo",https://www.imdb.com/title/tt2258345/,Movie,6.2,90,2014,"Comedy, Romance",25430,4/9/14,"John Turturro",,
302,tt1859650,1/20/14,1/20/14,,"To Rome with Love",https://www.imdb.com/title/tt1859650/,Movie,6.3,112,2012,"Comedy, Music, Romance",90707,7/6/12,"Woody Allen",,
303,tt0457513,1/20/14,1/20/14,,"Scoop",https://www.imdb.com/title/tt0457513/,Movie,6.6,96,2006,"Comedy, Crime, Fantasy, Mystery",87361,7/28/06,"Woody Allen",,
304,tt0256524,1/20/14,1/20/14,,"The Curse of the Jade Scorpion",https://www.imdb.com/title/tt0256524/,Movie,6.7,103,2001,"Comedy, Crime, Mystery, Romance",42305,8/24/01,"Woody Allen",6,7/2/12
305,tt0196216,1/20/14,1/20/14,,"Small Time Crooks",https://www.imdb.com/title/tt0196216/,Movie,6.7,94,2000,"Comedy, Crime",40520,5/19/00,"Woody Allen",,
306,tt0116242,1/20/14,1/20/14,,"Everyone Says I Love You",https://www.imdb.com/title/tt0116242/,Movie,6.7,101,1997,"Comedy, Musical, Romance",39265,1/17/97,"Woody Allen",,
307,tt0113819,1/20/14,1/20/14,,"Mighty Aphrodite",https://www.imdb.com/title/tt0113819/,Movie,7.0,95,1995,"Comedy, Fantasy, Romance",42640,11/10/95,"Woody Allen",10,11/20/13
308,tt0109644,1/20/14,1/20/14,,"Don't Drink the Water",https://www.imdb.com/title/tt0109644/,TV Movie,6.2,92,1994,"Comedy",3814,12/18/94,"Woody Allen",,
309,tt0104466,1/20/14,1/20/14,,"Husbands and Wives",https://www.imdb.com/title/tt0104466/,Movie,7.5,108,1992,"Comedy, Drama, Romance",31100,9/18/92,"Woody Allen",,
310,tt0105378,1/20/14,1/20/14,,"Shadows and Fog",https://www.imdb.com/title/tt0105378/,Movie,6.7,85,1992,"Comedy",18084,3/20/92,"Woody Allen",,
311,tt0102849,1/20/14,1/20/14,,"Scenes from a Mall",https://www.imdb.com/title/tt0102849/,Movie,5.4,89,1991,"Comedy",5213,2/22/91,"Paul Mazursky",,
312,tt0097123,1/20/14,1/20/14,,"Crimes and Misdemeanors",https://www.imdb.com/title/tt0097123/,Movie,7.8,104,1989,"Comedy, Drama",60612,11/3/89,"Woody Allen",10,8/14/12
313,tt0093818,1/20/14,1/20/14,,"Radio Days",https://www.imdb.com/title/tt0093818/,Movie,7.4,88,1987,"Comedy",36122,1/30/87,"Woody Allen",,
314,tt0091167,1/20/14,1/20/14,,"Hannah and Her Sisters",https://www.imdb.com/title/tt0091167/,Movie,7.8,107,1986,"Comedy, Drama",76485,3/14/86,"Woody Allen",10,11/11/11
315,tt0087003,1/20/14,1/20/14,,"Broadway Danny Rose",https://www.imdb.com/title/tt0087003/,Movie,7.4,84,1984,"Comedy",26862,1/27/84,"Woody Allen",,
316,tt0086637,1/20/14,1/20/14,,"Zelig",https://www.imdb.com/title/tt0086637/,Movie,7.7,79,1983,"Comedy",43990,8/25/83,"Woody Allen",,
317,tt0084329,1/20/14,1/20/14,,"A Midsummer Night's Sex Comedy",https://www.imdb.com/title/tt0084329/,Movie,6.6,88,1982,"Comedy",20444,7/16/82,"Woody Allen",,
318,tt0081554,1/20/14,1/20/14,,"Stardust Memories",https://www.imdb.com/title/tt0081554/,Movie,7.2,89,1980,"Comedy, Drama",23911,9/26/80,"Woody Allen",,
319,tt0079522,1/20/14,1/20/14,,"Manhattan",https://www.imdb.com/title/tt0079522/,Movie,7.8,96,1979,"Comedy, Drama, Romance",146725,4/25/79,"Woody Allen",10,11/11/11
320,tt0075686,1/20/14,1/20/14,,"Annie Hall",https://www.imdb.com/title/tt0075686/,Movie,8.0,93,1977,"Comedy, Romance",277380,4/20/77,"Woody Allen",10,8/8/11
321,tt0069097,1/20/14,1/20/14,,"Play It Again, Sam",https://www.imdb.com/title/tt0069097/,Movie,7.6,85,1972,"Comedy, Romance",27910,5/5/72,"Herbert Ross",,
322,tt0066808,1/20/14,1/20/14,,"Bananas",https://www.imdb.com/title/tt0066808/,Movie,6.9,82,1971,"Comedy",37593,7/19/71,"Woody Allen",,
323,tt0065063,1/20/14,1/20/14,,"Take the Money and Run",https://www.imdb.com/title/tt0065063/,Movie,7.2,85,1970,"Comedy, Crime",31345,7/10/70,"Woody Allen",,
324,tt0116477,1/23/14,1/23/14,,"Hamlet",https://www.imdb.com/title/tt0116477/,Movie,7.7,242,1996,"Drama",39895,12/25/96,"Kenneth Branagh",,
325,tt0487907,1/23/14,1/23/14,,"Gideon's Daughter",https://www.imdb.com/title/tt0487907/,TV Movie,7.0,105,2006,"Drama",2005,3/23/06,"Stephen Poliakoff",,
326,tt0362192,1/23/14,1/23/14,,"State of Play",https://www.imdb.com/title/tt0362192/,TV Mini Series,8.3,312,2003,"Crime, Drama, Mystery, Romance, Thriller",10487,5/18/03,,,
327,tt2356777,2/12/14,2/12/14,,"True Detective",https://www.imdb.com/title/tt2356777/,TV Series,8.9,55,2014,"Crime, Drama, Mystery, Thriller",650383,1/12/14,,,
328,tt0190965,2/12/14,2/12/14,,"Amok",https://www.imdb.com/title/tt0190965/,Movie,6.1,100,1999,"Drama, Romance",74,4/16/99,"Natalia Koryncka-Gruz",,
329,tt0101765,2/13/14,2/13/14,,"The Double Life of Véronique",https://www.imdb.com/title/tt0101765/,Movie,7.7,98,1991,"Drama, Fantasy, Music, Mystery, Romance",52676,11/22/91,"Krzysztof Kieslowski",,
330,tt0147612,2/13/14,2/13/14,,"Happiness",https://www.imdb.com/title/tt0147612/,Movie,7.7,134,1998,"Comedy, Drama",74162,10/16/98,"Todd Solondz",,
331,tt0495055,2/15/14,2/15/14,,"War and Peace",https://www.imdb.com/title/tt0495055/,TV Mini Series,7.2,394,2007,"Drama, History, Romance, War",2093,10/21/07,,,
332,tt0103874,2/17/14,2/17/14,,"Bram Stoker's Dracula",https://www.imdb.com/title/tt0103874/,Movie,7.4,128,1992,"Drama, Fantasy, Horror, Romance",237160,11/13/92,"Francis Ford Coppola",,
333,tt0099487,2/17/14,2/17/14,,"Edward Scissorhands",https://www.imdb.com/title/tt0099487/,Movie,7.9,105,1990,"Drama, Fantasy, Romance",521723,12/14/90,"Tim Burton",,
334,tt0110367,2/17/14,2/17/14,,"Little Women",https://www.imdb.com/title/tt0110367/,Movie,7.3,115,1994,"Drama, Family, Romance",63302,12/25/94,"Gillian Armstrong",,
335,tt0985699,2/17/14,2/17/14,,"Valkyrie",https://www.imdb.com/title/tt0985699/,Movie,7.1,121,2008,"Drama, History, Thriller, War",258383,12/25/08,"Bryan Singer",,
336,tt0187550,2/20/14,2/20/14,,"Tikhiy Don II",https://www.imdb.com/title/tt0187550/,Movie,8.0,115,1958,"Drama",131,4/30/58,"Sergey Gerasimov",,
337,tt0021476,2/20/14,2/20/14,,"And Quiet Flows the Don",https://www.imdb.com/title/tt0021476/,Movie,6.9,75,1932,"Drama",123,3/18/32,"Ivan Pravov, Olga Preobrazhenskaya, Mikhail Provor",,
338,tt0107322,2/20/14,2/20/14,,"King of the Hill",https://www.imdb.com/title/tt0107322/,Movie,7.3,103,1993,"Drama, History",8796,8/20/93,"Steven Soderbergh",,
339,tt0079907,2/20/14,2/20/14,,"Siberiade",https://www.imdb.com/title/tt0079907/,Movie,7.9,190,1980,"Drama, History, Romance, War",2305,5/16/80,"Andrey Konchalovskiy",,
340,tt0081534,2/24/14,2/24/14,,"Somewhere in Time",https://www.imdb.com/title/tt0081534/,Movie,7.2,103,1980,"Drama, Fantasy, Romance",32336,10/3/80,"Jeannot Szwarc",,
341,tt0118715,2/24/14,2/24/14,,"The Big Lebowski",https://www.imdb.com/title/tt0118715/,Movie,8.1,117,1998,"Comedy, Crime",856698,3/6/98,"Joel Coen, Ethan Coen",,
342,tt1454029,2/26/14,2/26/14,,"The Help",https://www.imdb.com/title/tt1454029/,Movie,8.1,146,2011,"Drama",490482,8/10/11,"Tate Taylor",8,2/13/16
343,tt0364961,2/26/14,2/26/14,,"The Assassination of Richard Nixon",https://www.imdb.com/title/tt0364961/,Movie,6.9,95,2004,"Biography, Crime, Drama, History, Thriller",26088,10/22/04,"Niels Mueller",,
344,tt0110148,2/26/14,2/26/14,,"Interview with the Vampire: The Vampire Chronicles",https://www.imdb.com/title/tt0110148/,Movie,7.5,123,1994,"Drama, Fantasy, Horror",345721,11/11/94,"Neil Jordan",,
345,tt0308644,2/26/14,2/26/14,,"Finding Neverland",https://www.imdb.com/title/tt0308644/,Movie,7.7,106,2004,"Biography, Drama, Family",211682,12/17/04,"Marc Forster",,
346,tt0054632,3/3/14,3/3/14,,"Last Year at Marienbad",https://www.imdb.com/title/tt0054632/,Movie,7.7,94,1962,"Drama, Mystery",24720,3/7/62,"Alain Resnais",,
347,tt0049730,3/3/14,3/3/14,,"The Searchers",https://www.imdb.com/title/tt0049730/,Movie,7.8,119,1956,"Adventure, Drama, Western",95783,5/26/56,"John Ford",,
348,tt0120620,3/4/14,3/4/14,,"Brokedown Palace",https://www.imdb.com/title/tt0120620/,Movie,6.4,100,1999,"Drama, Mystery, Thriller",23984,8/13/99,"Jonathan Kaplan",,
349,tt0119910,3/4/14,3/4/14,,"Polish Wedding",https://www.imdb.com/title/tt0119910/,Movie,5.5,105,1998,"Comedy, Drama, Romance",3430,7/17/98,"Theresa Connelly",,
350,tt0117924,3/4/14,3/4/14,,"To Gillian on Her 37th Birthday",https://www.imdb.com/title/tt0117924/,Movie,5.8,93,1996,"Drama, Fantasy, Romance",5093,10/25/96,"Michael Pressman",,
351,tt0273689,3/4/14,3/4/14,,"It's All About Love",https://www.imdb.com/title/tt0273689/,Movie,5.3,106,2003,"Drama, Romance, Sci-Fi, Thriller",9815,1/10/03,"Thomas Vinterberg",,
352,tt1230414,3/4/14,3/4/14,,"It's Complicated",https://www.imdb.com/title/tt1230414/,Movie,6.5,120,2009,"Comedy, Drama, Romance",98154,12/25/09,"Nancy Meyers",,
353,tt0109348,3/4/14,3/4/14,,"Bullets Over Broadway",https://www.imdb.com/title/tt0109348/,Movie,7.4,98,1995,"Comedy, Crime",41595,2/24/95,"Woody Allen",,
354,tt0065126,3/4/14,3/4/14,,"True Grit",https://www.imdb.com/title/tt0065126/,Movie,7.4,128,1969,"Adventure, Drama, Western",51227,6/21/69,"Henry Hathaway",,
355,tt1856010,3/4/14,3/4/14,,"House of Cards",https://www.imdb.com/title/tt1856010/,TV Series,8.6,,2013,"Drama",529072,2/1/13,,,
356,tt2106476,3/4/14,3/4/14,,"The Hunt",https://www.imdb.com/title/tt2106476/,Movie,8.3,115,2013,"Drama",361913,1/10/13,"Thomas Vinterberg",,
357,tt1906329,3/9/14,3/9/14,,"As Cool as I Am",https://www.imdb.com/title/tt1906329/,Movie,5.8,92,2013,"Comedy, Drama",5503,6/21/13,"Max Mayer",,
358,tt0052654,3/10/14,3/10/14,,"The Bridge",https://www.imdb.com/title/tt0052654/,Movie,8.0,103,1961,"Drama, History, War",8586,5/1/61,"Bernhard Wicki",,
359,tt0083658,3/12/14,3/12/14,,"Blade Runner",https://www.imdb.com/title/tt0083658/,Movie,8.1,117,1982,"Action, Drama, Sci-Fi, Thriller",819261,6/25/82,"Ridley Scott",,
360,tt1731141,3/12/14,3/12/14,,"Ender's Game",https://www.imdb.com/title/tt1731141/,Movie,6.6,114,2013,"Action, Adventure, Sci-Fi",252907,11/1/13,"Gavin Hood",,
361,tt2406252,3/13/14,3/13/14,,"Venus in Fur",https://www.imdb.com/title/tt2406252/,Movie,7.1,96,2013,"Drama",20879,11/8/13,"Roman Polanski",,
362,tt0191636,3/14/14,3/14/14,,"Widow of St. Pierre",https://www.imdb.com/title/tt0191636/,Movie,7.1,112,2001,"Drama, History, Romance",5722,4/13/01,"Patrice Leconte",,
363,tt0297884,3/14/14,3/14/14,,"Far from Heaven",https://www.imdb.com/title/tt0297884/,Movie,7.3,107,2003,"Drama, Romance",49169,1/10/03,"Todd Haynes",,
364,tt1687901,3/16/14,3/16/14,,"The Awakening",https://www.imdb.com/title/tt1687901/,Movie,6.4,102,2011,"Drama, Horror, Mystery, Thriller",68762,11/11/11,"Nick Murphy",,
365,tt0086199,3/19/14,3/19/14,,"Crime and Punishment",https://www.imdb.com/title/tt0086199/,Movie,7.1,93,1983,"Crime, Drama",2986,12/2/83,"Aki Kaurismäki",,
366,tt0061996,3/19/14,3/19/14,,"Mouchette",https://www.imdb.com/title/tt0061996/,Movie,7.7,81,1970,"Drama",12910,3/12/70,"Robert Bresson",,
367,tt0040525,3/19/14,3/19/14,,"The Lady from Shanghai",https://www.imdb.com/title/tt0040525/,Movie,7.5,87,1948,"Crime, Drama, Film-Noir, Mystery, Thriller",33094,4/14/48,"Orson Welles",,
368,tt0340377,3/22/14,3/22/14,,"The Station Agent",https://www.imdb.com/title/tt0340377/,Movie,7.6,89,2003,"Comedy, Drama",73128,12/5/03,"Tom McCarthy",,
369,tt3153634,3/30/14,3/30/14,,"Hope",https://www.imdb.com/title/tt3153634/,Movie,8.2,122,2017,"Drama",9551,4/4/17,"Joon-ik Lee",,
370,tt0069628,3/31/14,3/31/14,,"Seventeen Moments of Spring",https://www.imdb.com/title/tt0069628/,TV Mini Series,8.8,,1973,"Drama, History, War",4942,8/11/73,,,
371,tt1980929,4/1/14,4/1/14,,"Begin Again",https://www.imdb.com/title/tt1980929/,Movie,7.4,104,2014,"Comedy, Drama, Music, Romance",166282,7/11/14,"John Carney",,
372,tt0092005,4/3/14,4/3/14,,"Stand by Me",https://www.imdb.com/title/tt0092005/,Movie,8.1,89,1986,"Adventure, Comedy, Drama",439087,8/22/86,"Rob Reiner",,
373,tt0074285,4/3/14,4/3/14,,"Carrie",https://www.imdb.com/title/tt0074285/,Movie,7.4,98,1976,"Horror, Mystery",205619,11/16/76,"Brian De Palma",,
374,tt0100157,4/3/14,4/3/14,,"Misery",https://www.imdb.com/title/tt0100157/,Movie,7.8,107,1990,"Drama, Thriller",234088,11/30/90,"Rob Reiner",,
375,tt0281240,4/3/14,4/3/14,,"Summer Snow",https://www.imdb.com/title/tt0281240/,TV Series,8.4,45,2000,"Drama, Romance",347,7/7/00,,,
376,tt0444653,4/6/14,4/6/14,,"Keeping Mum",https://www.imdb.com/title/tt0444653/,Movie,6.8,99,2006,"Comedy, Crime",35849,10/6/06,"Niall Johnson",,
377,tt0138097,4/12/14,4/12/14,,"Shakespeare in Love",https://www.imdb.com/title/tt0138097/,Movie,7.1,123,1999,"Comedy, Drama, History, Romance",233734,1/8/99,"John Madden",,
378,tt0117737,4/17/14,4/17/14,,"Stealing Beauty",https://www.imdb.com/title/tt0117737/,Movie,6.5,118,1996,"Drama, Mystery, Romance",30292,6/14/96,"Bernardo Bertolucci",,
379,tt1139328,4/19/14,4/19/14,,"The Ghost Writer",https://www.imdb.com/title/tt1139328/,Movie,7.2,128,2010,"Crime, Drama, Mystery, Thriller",170461,3/19/10,"Roman Polanski",,
380,tt0116191,4/19/14,4/19/14,,"Emma",https://www.imdb.com/title/tt0116191/,Movie,6.6,120,1996,"Comedy, Drama, Romance",41434,8/30/96,"Douglas McGrath",,
381,tt2372220,4/19/14,4/19/14,,"The White Queen",https://www.imdb.com/title/tt2372220/,TV Mini Series,7.7,,2013,"Drama, History, Romance, War",31199,8/10/13,,,
382,tt1494191,4/22/14,4/22/14,,"The Untold History of the United States",https://www.imdb.com/title/tt1494191/,TV Mini Series,8.6,58,2012,"Documentary, History, War",9674,11/12/12,,,
383,tt1756851,4/23/14,4/23/14,,"Twixt",https://www.imdb.com/title/tt1756851/,Movie,4.7,88,2012,"Comedy, Fantasy, Horror, Mystery",11644,4/11/12,"Francis Ford Coppola",,
384,tt0119978,4/23/14,4/23/14,,"The Rainmaker",https://www.imdb.com/title/tt0119978/,Movie,7.2,135,1997,"Crime, Drama, Thriller",82534,11/21/97,"Francis Ford Coppola",,
385,tt0338427,4/23/14,4/23/14,,"Shopgirl",https://www.imdb.com/title/tt0338427/,Movie,6.3,106,2005,"Drama, Romance",24645,11/4/05,"Anand Tucker",,
386,tt0368658,4/23/14,4/23/14,,"Stage Beauty",https://www.imdb.com/title/tt0368658/,Movie,7.1,106,2004,"Drama",10720,10/29/04,"Richard Eyre",,
387,tt0694701,4/23/14,4/23/14,,"David Schwimmer/Natalie Merchant",https://www.imdb.com/title/tt0694701/,TV Episode,6.0,90,1995,"Comedy, Music",85,10/21/95,"Beth McCarthy-Miller",,
388,tt0694956,4/23/14,4/23/14,,"Martin Sheen/David Bowie",https://www.imdb.com/title/tt0694956/,TV Episode,7.0,90,1979,"Comedy, Music",110,12/15/79,"Dave Wilson",,
389,tt0120148,4/25/14,4/25/14,,"Sliding Doors",https://www.imdb.com/title/tt0120148/,Movie,6.7,99,1998,"Comedy, Drama, Fantasy, Romance",71294,5/1/98,"Peter Howitt",,
390,tt0100405,4/28/14,4/28/14,,"Pretty Woman",https://www.imdb.com/title/tt0100405/,Movie,7.1,119,1990,"Comedy, Romance",359179,3/23/90,"Garry Marshall",,
391,tt0482571,5/8/14,5/8/14,,"The Prestige",https://www.imdb.com/title/tt0482571/,Movie,8.5,130,2006,"Drama, Mystery, Sci-Fi, Thriller",1432930,10/20/06,"Christopher Nolan",6,12/19/14
392,tt0249462,5/8/14,5/8/14,,"Billy Elliot",https://www.imdb.com/title/tt0249462/,Movie,7.7,110,2000,"Drama, Music",142136,11/10/00,"Stephen Daldry",,
393,tt0477302,5/8/14,5/8/14,,"Extremely Loud & Incredibly Close",https://www.imdb.com/title/tt0477302/,Movie,6.9,129,2012,"Adventure, Drama, Mystery",105005,1/20/12,"Stephen Daldry",,
394,tt1921149,5/8/14,5/8/14,,"Trash",https://www.imdb.com/title/tt1921149/,Movie,7.1,114,2015,"Adventure, Crime, Drama, Mystery, Thriller",22795,10/9/15,"Stephen Daldry, Christian Duurvoort",,
395,tt2088490,5/10/14,5/10/14,,"Emma Stone/Coldplay",https://www.imdb.com/title/tt2088490/,TV Episode,7.5,90,2011,"Comedy, Music",217,11/12/11,"Don Roy King, John Solomon, Jorma Taccone",,
396,tt1282140,5/10/14,5/10/14,,"Easy A",https://www.imdb.com/title/tt1282140/,Movie,7.0,92,2010,"Comedy, Drama, Romance",415766,9/17/10,"Will Gluck",,
397,tt1321870,5/10/14,5/10/14,,"Gangster Squad",https://www.imdb.com/title/tt1321870/,Movie,6.7,113,2013,"Action, Crime, Drama, Thriller",222327,1/11/13,"Ruben Fleischer",,
398,tt1156398,5/11/14,5/11/14,,"Zombieland",https://www.imdb.com/title/tt1156398/,Movie,7.5,88,2009,"Action, Comedy, Horror",618251,10/2/09,"Ruben Fleischer",,
399,tt0117666,5/14/14,5/14/14,,"Sling Blade",https://www.imdb.com/title/tt0117666/,Movie,8.0,135,1997,"Drama",98517,3/14/97,"Billy Bob Thornton",,
400,tt2234261,5/15/14,5/15/14,,"The Love Punch",https://www.imdb.com/title/tt2234261/,Movie,5.7,94,2014,"Comedy, Romance",15795,5/23/14,"Joel Hopkins",,
401,tt2802850,5/17/14,5/17/14,,"Fargo",https://www.imdb.com/title/tt2802850/,TV Series,8.9,53,2014,"Crime, Drama, Thriller",418494,4/15/14,,,
402,tt0116282,5/17/14,5/17/14,,"Fargo",https://www.imdb.com/title/tt0116282/,Movie,8.1,98,1996,"Crime, Thriller",723007,4/5/96,"Joel Coen, Ethan Coen",,
403,tt2557490,5/17/14,5/17/14,,"A Million Ways to Die in the West",https://www.imdb.com/title/tt2557490/,Movie,6.1,116,2014,"Comedy, Western",197904,5/30/14,"Seth MacFarlane",,
404,tt1381404,5/17/14,5/17/14,,"The Company You Keep",https://www.imdb.com/title/tt1381404/,Movie,6.4,125,2013,"Drama, Thriller",34916,4/26/13,"Robert Redford",,
405,tt1178618,5/18/14,5/18/14,,"Wallander",https://www.imdb.com/title/tt1178618/,TV Series,7.8,90,2009,"Crime, Drama, Mystery, Thriller",16400,5/10/09,,,
406,tt0099615,5/18/14,5/18/14,,"The Freshman",https://www.imdb.com/title/tt0099615/,Movie,6.5,102,1990,"Comedy, Crime",21821,7/27/90,"Andrew Bergman",,
407,tt0074906,5/18/14,5/18/14,,"The Missouri Breaks",https://www.imdb.com/title/tt0074906/,Movie,6.5,126,1976,"Drama, Western",11974,5/19/76,"Arthur Penn",,
408,tt0120647,5/18/14,5/18/14,,"Deep Impact",https://www.imdb.com/title/tt0120647/,Movie,6.2,120,1998,"Action, Drama, Sci-Fi, Thriller",189656,5/8/98,"Mimi Leder",,
409,tt1127896,5/22/14,5/22/14,,"Taking Woodstock",https://www.imdb.com/title/tt1127896/,Movie,6.7,120,2009,"Biography, Comedy, Drama, History, Music",29964,8/28/09,"Ang Lee",,
410,tt0134154,5/22/14,5/22/14,,"Ride with the Devil",https://www.imdb.com/title/tt0134154/,Movie,6.7,138,1999,"Drama, Romance, War, Western",14514,11/5/99,"Ang Lee",,
411,tt0119349,5/22/14,5/22/14,,"The Ice Storm",https://www.imdb.com/title/tt0119349/,Movie,7.3,112,1997,"Drama",59797,11/26/97,"Ang Lee",,
412,tt0114440,5/22/14,5/22/14,,"Siao Yu",https://www.imdb.com/title/tt0114440/,Movie,7.2,104,1995,"Drama",447,4/22/95,"Sylvia Chang",,
413,tt2172934,5/22/14,5/22/14,,"3 Days to Kill",https://www.imdb.com/title/tt2172934/,Movie,6.2,117,2014,"Action, Comedy, Drama, Thriller",97396,2/21/14,"McG",,
414,tt1985443,5/22/14,5/22/14,,"Hatfields & McCoys",https://www.imdb.com/title/tt1985443/,TV Mini Series,7.9,290,2012,"Drama, History, Romance, War, Western",29248,5/28/12,,,
415,tt0118972,5/25/14,5/25/14,,"The Devil's Own",https://www.imdb.com/title/tt0118972/,Movie,6.2,111,1997,"Action, Crime, Drama, Thriller",71347,3/26/97,"Alan J. Pakula",,
416,tt0107497,5/25/14,5/25/14,,"Malice",https://www.imdb.com/title/tt0107497/,Movie,6.5,107,1993,"Crime, Mystery, Thriller",27153,10/1/93,"Harold Becker",,
417,tt0067309,5/25/14,5/25/14,,"Klute",https://www.imdb.com/title/tt0067309/,Movie,7.1,114,1971,"Crime, Mystery, Thriller",29441,6/25/71,"Alan J. Pakula",,
418,tt0074119,5/25/14,5/25/14,,"All the President's Men",https://www.imdb.com/title/tt0074119/,Movie,7.9,138,1976,"Drama, History, Thriller",125465,4/9/76,"Alan J. Pakula",,
419,tt0078231,5/25/14,5/25/14,,"September 30, 1955",https://www.imdb.com/title/tt0078231/,Movie,6.2,101,1978,"Drama",453,1/6/78,"James Bridges",,
420,tt0094799,5/25/14,5/25/14,,"Bright Lights, Big City",https://www.imdb.com/title/tt0094799/,Movie,5.7,107,1988,"Drama",8936,4/1/88,"James Bridges",,
421,tt0072890,5/25/14,5/25/14,,"Dog Day Afternoon",https://www.imdb.com/title/tt0072890/,Movie,8.0,125,1975,"Biography, Crime, Drama, Thriller",272067,12/25/75,"Sidney Lumet",,
422,tt0053317,5/26/14,5/26/14,,"The Destiny of a Man",https://www.imdb.com/title/tt0053317/,Movie,8.0,103,1959,"Drama, War",3680,4/12/59,"Sergey Bondarchuk",,
423,tt3090252,5/27/14,5/27/14,,"Dinosaur 13",https://www.imdb.com/title/tt3090252/,Movie,7.2,95,2014,"Documentary",3978,8/15/14,"Todd Douglas Miller",,
424,tt0115742,6/3/14,6/3/14,,"Boys",https://www.imdb.com/title/tt0115742/,Movie,4.9,86,1996,"Drama, Mystery, Romance",3829,5/10/96,"Stacy Cochran",,
425,tt0115988,6/4/14,6/4/14,,"The Crucible",https://www.imdb.com/title/tt0115988/,Movie,6.8,124,1996,"Drama, History",40030,11/27/96,"Nicholas Hytner",,
